Title_translated,Funding_Amount_in_EUR,Start_Date,Start_Year,End_Date,End_Year,Research_Organization_original,Research_Organization_standardized,Country_of_Research_organization,Funder,Funder_Group,Funder_Country,Fields_of_Research_ANZSRC_2020,RCDC_Categories,HRCS_HC_Categories,HRCS_RAC_Categories,Cancer_Types,CSO_Categories,Units_of_Assessment,Sustainable_Development_Goals,topic
Building a European Network for the Characterisation and Harmonisation of Monitoring Approaches for Research and Knowledge on Soils,11502963.0,2023-01-01,2023.0,2027-12-31,2027.0,"Norwegian Institute for Nature Research; University of Lorraine; FUNDACIO PRIVADA ERSILIA; GREENBACK; B.V. EXPLOITATIE RESERVEGRONDEN FLEVOLAND; USTAV VYZKUMU GLOBALNI ZMENY AV CR VVI; World Conservation Monitoring Centre; Masaryk University; Jožef Stefan Institute; FUNDACION REGENERATION ACADEMY; University of Naples Federico II; CLIMATE FARMERS UG(HAFTUNGSBESCHRANKT); Austrian Agency for Health and Food Safety; INSTITUT FUR ANGEWANDTEPFLANZENBIOLOGIE AG; GRAND ALFRED; CONSERVATION EDUCATION AND RESEARCH TRUST; Spanish National Research Council; International Soil Reference and Information Centre; Natural Resources Institute Finland; Forschungsinstitut für Biologischen Landbau; University of Coimbra; National Research Council; DIRECCAO REGIONAL DE AGRICULTURA EPESCAS DO CENTRO; INSTITUT NATIONAL DES SCIENCES ET INDUSTRIES DU VIVANT ET DE L'ENVIRONNEMENT - AGROPARISTECH; COMMONLAND FOUNDATION; Wageningen University & Research; National Research Institute for Agriculture, Food and Environment; Leibniz Centre for Agricultural Landscape Research","Wageningen University & Research; Norwegian Institute for Nature Research; University of Lorraine; World Conservation Monitoring Centre; Masaryk University; Jožef Stefan Institute; University of Naples Federico II; Austrian Agency for Health and Food Safety; Spanish National Research Council; International Soil Reference and Information Centre; Natural Resources Institute Finland; Forschungsinstitut für Biologischen Landbau; University of Coimbra; National Research Council; National Research Institute for Agriculture, Food and Environment; Leibniz Centre for Agricultural Landscape Research",Netherlands; Norway; France; United Kingdom; Czechia; Slovenia; Italy; Austria; Spain; Netherlands; Finland; Switzerland; Portugal; Italy; France; Germany,European Commission,cOAlition S; EC & ERC - European Union,Belgium,41 Environmental Sciences; 4106 Soil Sciences,Clinical Research; Health Services,Generic health relevance,,,,"A06 Agriculture, Veterinary and Food Science",11 Sustainable Cities and Communities,soil monitoring
Operator Algebras that One Can See,496800.0,2023-01-01,2023.0,2026-12-31,2026.0,Regents of the University of Colorado; Institute of Mathematics; University of Warsaw; Leiden University; Research Foundation for the State University of New York; Pomona College; University of Haifa; Arizona State University; University of Wrocław; Universidad Michoacana de San Nicolás de Hidalgo; University of Göttingen; University of Naples Federico II; International School for Advanced Studies; University of Copenhagen; REGENTS OF THE UNIVERSITY OF COLORADO; University of Denver; Pennsylvania State University; University of Kansas; Western University; University of Southern Denmark; University of California System; University of New Brunswick; Fields Institute for Research in Mathematical Sciences; University of Hawaii at Manoa; Kansas State University; Jagiellonian University,Institute of Mathematics; University of Warsaw; Leiden University; Research Foundation for the State University of New York; Pomona College; University of Haifa; Arizona State University; University of Wrocław; Universidad Michoacana de San Nicolás de Hidalgo; University of Göttingen; University of Naples Federico II; International School for Advanced Studies; University of Copenhagen; University of Denver; Pennsylvania State University; University of Kansas; Western University; University of Southern Denmark; University of California System; University of New Brunswick; Fields Institute for Research in Mathematical Sciences; University of Hawaii at Manoa; Kansas State University; Jagiellonian University,Poland; Poland; Netherlands; United States; United States; Israel; United States; Poland; Mexico; Germany; Italy; Italy; Denmark; United States; United States; United States; Canada; Denmark; United States; Canada; Canada; United States; United States; Poland,European Commission,cOAlition S; EC & ERC - European Union,Belgium,49 Mathematical Sciences; 4904 Pure Mathematics,,,,,,B10 Mathematical Sciences,,seeing operator algebra
Improving ClimAte Resilience of crItical Assets,2294146.0,2023-01-01,2023.0,2025-12-31,2025.0,"University of Exeter; Austrian Institute of Technology; AQUATEC PROYECTOS PARA EL SECTOR DEL AGUA SA; ETHNIKO KENTRO EREVNAS KAI TECHNOLOGIKIS ANAPTYXIS; AIGUES DE BARCELONA, EMPRESA METROPOLITANA DE GESTIO DEL CICLE INTEGRAL DE L'AIGUA SA; VERBUND ENERGY4BUSINESS GMBH; University of Naples Federico II; FUNDACION PARA LA INVESTIGACION DEL CLIMA; Institut de Recerca de l'Energia de Catalunya; National Laboratory for Civil Engineering; PERIFEREIA NOTIOU AIGAIOU; Draxis Environmental Technologies (Greece); National Centre of Scientific Research Demokritos; Centro Tecnológico del Agua; AREA METROPOLITANA DE BARCELONA",Centro Tecnológico del Agua; University of Exeter; Austrian Institute of Technology; University of Naples Federico II; Institut de Recerca de l'Energia de Catalunya; National Laboratory for Civil Engineering; Draxis Environmental Technologies (Greece); National Centre of Scientific Research Demokritos,Spain; United Kingdom; Austria; Italy; Spain; Portugal; Greece; Greece,European Commission,cOAlition S; EC & ERC - European Union,Belgium,33 Built Environment and Design; 41 Environmental Sciences; 4101 Climate Change Impacts and Adaptation,,,,,,C14 Geography and Environmental Studies,11 Sustainable Cities and Communities; 13 Climate Action,climate resilience
"Solutions to prevent and mitigate the impacts of HABs in Aquaculture and Fisheries, in the context of global warming",331200.0,2023-01-01,2023.0,2026-12-31,2026.0,Northeast Institute of Geography and Agroecology; Linköping University; CENTRO DE ESTUDIOS AMBIENTALES DE CIENFUEGOS; Federal University of Paraná; CITEB; Portuguese Sea and Atmosphere Institute; LABORATORIO CIFGA SA; University of Naples Federico II; Institute for Research and Technology in Food and Agriculture; Eduardo Mondlane University; Southern Cross University; University of Porto; University of Los Lagos,University of Porto; Northeast Institute of Geography and Agroecology; Linköping University; Federal University of Paraná; Portuguese Sea and Atmosphere Institute; University of Naples Federico II; Institute for Research and Technology in Food and Agriculture; Eduardo Mondlane University; Southern Cross University; University of Los Lagos,Portugal; China; Sweden; Brazil; Portugal; Italy; Spain; Mozambique; Australia; Chile,European Commission,cOAlition S; EC & ERC - European Union,Belgium,41 Environmental Sciences; 4104 Environmental Management; 48 Law and Legal Studies; 4803 International and Comparative Law,Climate-Related Exposures and Conditions,Generic health relevance,,,,C14 Geography and Environmental Studies,14 Life Below Water,habs and global warming
Protecting urban aquatic ecosystems to promote One Health,4939558.0,2023-01-01,2023.0,2026-12-31,2026.0,University of Naples Federico II; Ghent University; Health Level Seven International; Synyo (Austria); Holon Institute of Technology; ASSOCIATION EUROPEAN FEDERATION FORMEDICAL INFORMATICS; WISE ANGLE CONSULTING SL; University of Coimbra; National Research Council; University of Oslo; SHINE 2EUROPE LDA; ENORA INNOVATION ETAIREIA PSIFIAKON TEXNOLOGION KAI ERGON KAINOTOMIAS IDIOTIKI KEFALAIOUXIKI ETAIREIA; National Polytechnic Institute of Toulouse; Paul Sabatier University,University of Coimbra; University of Naples Federico II; Ghent University; Health Level Seven International; Synyo (Austria); Holon Institute of Technology; National Research Council; University of Oslo; National Polytechnic Institute of Toulouse; Paul Sabatier University,Portugal; Italy; Belgium; Belgium; Austria; Israel; Italy; Norway; France; France,European Commission,cOAlition S; EC & ERC - European Union,Belgium,41 Environmental Sciences; 4102 Ecological Applications; 4104 Environmental Management,Prevention,Generic health relevance,,,,C14 Geography and Environmental Studies,11 Sustainable Cities and Communities,urban aquatic one health
ENabling sustainable COmbustion technologies using hybrid physics-based Data-driven modelING,2645172.0,2023-01-01,2023.0,2026-12-31,2026.0,Asahi Glass (Belgium); ArcelorMittal (France); LaVision (Germany); RWTH Aachen University; General Electric (Italy); MITIS; University of Naples Federico II; TENOVA SPA; Convergent Science GmbH; Université Libre de Bruxelles; Normandie Université; National Research Council; Air Liquide (France); CFD Direct Limited; WARMEPROZESSTECHNIK GMBH; French National Centre for Scientific Research; Technical University of Madrid,Université Libre de Bruxelles; Asahi Glass (Belgium); ArcelorMittal (France); LaVision (Germany); RWTH Aachen University; General Electric (Italy); University of Naples Federico II; Normandie Université; National Research Council; Air Liquide (France); French National Centre for Scientific Research; Technical University of Madrid,Belgium; Belgium; France; Germany; Germany; Italy; Italy; France; Italy; France; France; Spain,European Commission,cOAlition S; EC & ERC - European Union,Belgium,"40 Engineering; 46 Information and Computing Sciences; 4607 Graphics, Augmented Reality and Games",,,,,,B12 Engineering,13 Climate Action; 7 Affordable and Clean Energy,hybrid modeling for sustainable combustion
Unveiling the molecular basis of chromatinopathies to delineate innovative therapeutic solutions,2357093.0,2023-01-01,2023.0,2026-12-31,2026.0,University of Manchester; Radboud University Nijmegen; Association Syndrome Kabuki; University of Montpellier; Evotec (Germany); University of Naples Federico II; BioTalentum (Hungary); Spanish National Research Council; Istituto Auxologico Italiano; University Hospital of Montpellier; Associazione Italiana Sindrome Kabuki; GeneXplain (Germany); University of Trento; University of Cantabria; Instytut Biologii Doświadczalnej im. Marcelego Nenckiego,University of Trento; University of Manchester; Radboud University Nijmegen; University of Montpellier; Evotec (Germany); University of Naples Federico II; BioTalentum (Hungary); Spanish National Research Council; Istituto Auxologico Italiano; University Hospital of Montpellier; GeneXplain (Germany); University of Cantabria; Instytut Biologii Doświadczalnej im. Marcelego Nenckiego,Italy; United Kingdom; Netherlands; France; Germany; Italy; Hungary; Spain; Italy; France; Germany; Spain; Poland,European Commission,cOAlition S; EC & ERC - European Union,Belgium,31 Biological Sciences; 3105 Genetics; 32 Biomedical and Clinical Sciences,Genetics; Rare Diseases,Congenital,,,,"A03 Allied Health Professions, Dentistry, Nursing and Pharmacy",,molecular chromatinopathies
Dissect cargo selectivity in autophagy,1993750.0,2023-01-01,2023.0,2027-12-31,2027.0,Telethon Foundation; INNOVAVECTOR SRL; University of Naples Federico II; NEXT GENERATION DIAGNOSTIC SRL,University of Naples Federico II; Telethon Foundation,Italy; Italy,European Commission,cOAlition S; EC & ERC - European Union,Belgium,31 Biological Sciences; 3101 Biochemistry and Cell Biology; 34 Chemical Sciences; 3404 Medicinal and Biomolecular Chemistry,,Generic health relevance,1.1 Normal biological development and functioning; 2.1 Biological and endogenous factors,Not Site-Specific Cancer,1.1 Normal Functioning,A01 Clinical Medicine,,autophagy cargo selectivity
Coastal Climate Resilience and Marine Restoration Tools for the Arctic Atlantic basin,8499999.0,2022-12-01,2022.0,2025-11-30,2025.0,"Norwegian Institute for Nature Research; Aarhus University; University of Alicante; SEABOOST; National University of Ireland, Galway; EUROPEAN CHAPTER OF THE SOCIETY FOR ECOLOGICAL RESTORATION SER INTERNATIONAL; SINTEF OCEAN AS; University of Naples Federico II; SINTEF; WavEC Offshore Renewables; Technical University of Denmark; French Research Institute for Exploitation of the Sea; Norwegian Meteorological Institute; University of Malaga; ARDITI - AGENCIA REGIONAL PARA O DESENVOLVIMENTO DA INVESTIGACAO, TECNOLOGIA E INOVACAO - ASSOCIACAO; Marche Polytechnic University; Norwegian University of Science and Technology; Universidade de Vigo","Norwegian Institute for Nature Research; Aarhus University; University of Alicante; National University of Ireland, Galway; University of Naples Federico II; SINTEF; WavEC Offshore Renewables; Technical University of Denmark; French Research Institute for Exploitation of the Sea; Norwegian Meteorological Institute; University of Malaga; Marche Polytechnic University; Norwegian University of Science and Technology; Universidade de Vigo",Norway; Denmark; Spain; Ireland; Italy; Norway; Portugal; Denmark; France; Norway; Spain; Italy; Norway; Spain,European Commission,cOAlition S; EC & ERC - European Union,Belgium,31 Biological Sciences; 3103 Ecology; 41 Environmental Sciences; 4104 Environmental Management,,,,,,C14 Geography and Environmental Studies,13 Climate Action,arctic resilience
Optimise and predict antidepressant efficacy for patient with major depressive disorders using multi-omics analysis and AI-predictive tool,9997594.0,2022-12-01,2022.0,2027-05-31,2027.0,Fundación Universitaria Sanitas; BIOKERALTY RESEARCH INSTITUTE AIE; CEPHALGO; University of Siena; ARTIFICIAL INTELLIGENCE EXPERT SRL; FUNDACIO INSTITUT D'INVESTIGACIO BIOMEDICA DE GIRONA DOCTOR JOSEP TRUETA; PERSEUS BIOMICS; Istanbul Medipol University; University of Naples Federico II; MAMA HEALTH TECHNOLOGIES GMBH; Accare; FONDAZIONE EBRIS; Centre Tecnologic De Telecomunicacions De Catalunya; Protobios (Estonia),Fundación Universitaria Sanitas; University of Siena; Istanbul Medipol University; University of Naples Federico II; Accare; Centre Tecnologic De Telecomunicacions De Catalunya; Protobios (Estonia),Colombia; Italy; Turkey; Italy; Netherlands; Spain; Estonia,European Commission,cOAlition S; EC & ERC - European Union,Belgium,32 Biomedical and Clinical Sciences; 3202 Clinical Sciences; 3205 Medical Biochemistry and Metabolomics; 52 Psychology; 5202 Biological Psychology,Brain Disorders; Clinical Research; Depression; Genetics; Major Depressive Disorder; Mental Health; Neurosciences; Prevention; Serious Mental Illness,Mental health; Neurological,4.1 Discovery and preclinical testing of markers and technologies; 4.2 Evaluation of markers and technologies,,,A01 Clinical Medicine,3 Good Health and Well Being,ai-predicted mdd treatment
Bringing EMPHASIS to operation: European Infrastructure for multi-scale Plant Phenomics and Simulation for food security in a changing climate,1317750.0,2022-11-01,2022.0,2025-10-31,2025.0,"University of Tartu; Federal Department of Economic Affairs Education and Research; Forschungszentrum Jülich; University of Naples Federico II; Université Catholique de Louvain; Universidade Nova de Lisboa; UNITED KINGDOM RESEARCH AND INNOVATION; ETH Zurich; Vlaams Instituut voor Biotechnologie; University of Nottingham; Hebrew University of Jerusalem; National Research Institute for Agriculture, Food and Environment; Institute of Field and Vegetable Crops; Wageningen University & Research","Forschungszentrum Jülich; University of Tartu; Federal Department of Economic Affairs Education and Research; University of Naples Federico II; Université Catholique de Louvain; Universidade Nova de Lisboa; ETH Zurich; Vlaams Instituut voor Biotechnologie; University of Nottingham; Hebrew University of Jerusalem; National Research Institute for Agriculture, Food and Environment; Institute of Field and Vegetable Crops; Wageningen University & Research",Germany; Estonia; Switzerland; Italy; Belgium; Portugal; Switzerland; Belgium; United Kingdom; Israel; France; Serbia; Netherlands,European Commission,cOAlition S; EC & ERC - European Union,Belgium,"30 Agricultural, Veterinary and Food Sciences; 3008 Horticultural Production",,,,,,"A06 Agriculture, Veterinary and Food Science","13 Climate Action; 9 Industry, Innovation and Infrastructure",emphasis-ops plant phenomics for food security
Geosphere INfrastructures for QUestions into Integrated REsearch,13923476.0,2022-10-01,2022.0,2026-09-30,2026.0,Icelandic Meteorological Office; Observatoire de la Côte d’Azur; Ludwig-Maximilians-Universität München; European Centre for Training and Research in Earthquake Engineering; AGH University of Science and Technology; Netherlands Organisation for Applied Scientific Research; Hellenic Centre for Marine Research; Oceanic Platform of the Canary Islands; French National Institute for Industrial Environment and Risks; University of Western Brittany; European Plate Observing System ERIC; University of Naples Federico II; FONDAZIONE GEM; European Multidisciplinary Seafloor and Water Column Observatory - ERIC; University of Strasbourg; Marine Institute; University of La Rochelle; SINTEF; Spanish National Research Council; Institut de Physique du Globe de Paris; Helmholtz Centre Potsdam - GFZ German Research Centre for Geosciences; Institut Néel; Istituto Superiore per la Protezione e la Ricerca Ambientale; Bureau de Recherches Géologiques et Minières; National Research Council; Universitat Politècnica de Catalunya; Royal Observatory of Belgium; University of Pavia; National Institute of Oceanography and Experimental Geophysics; ETH Zurich; STICHTING ORFEUS; Norwegian Geotechnical Institute; ASSOCIATION CENTRE SISMOLOGIQUE EURO-MEDITERRANEEN; French Research Institute for Exploitation of the Sea; University of Clermont Auvergne; Norsar; University of Beira Interior; University of Malaga; ETHNIKO ASTEROSKOPEIO ATHINON; Utrecht University; National Institute of Geophysics and Volcanology; University College London; Cineca; SOTACARBO - SOCIETA TECNOLOGIE AVANZATE LOW CARBON -SOCIETA PER AZIONI; French National Centre for Scientific Research; Flanders Marine Institute; ECCSEL EUROPEAN RESEARCH INFRASTRUCTURE CONSORTIUM; University of Bergen; Barcelona Supercomputing Center; Institute of Geophysics; National Laboratory of Frascati,Helmholtz Centre Potsdam - GFZ German Research Centre for Geosciences; Icelandic Meteorological Office; Observatoire de la Côte d’Azur; Ludwig-Maximilians-Universität München; European Centre for Training and Research in Earthquake Engineering; AGH University of Science and Technology; Netherlands Organisation for Applied Scientific Research; Hellenic Centre for Marine Research; Oceanic Platform of the Canary Islands; French National Institute for Industrial Environment and Risks; University of Western Brittany; European Plate Observing System ERIC; University of Naples Federico II; European Multidisciplinary Seafloor and Water Column Observatory - ERIC; University of Strasbourg; Marine Institute; University of La Rochelle; SINTEF; Spanish National Research Council; Institut de Physique du Globe de Paris; Institut Néel; Istituto Superiore per la Protezione e la Ricerca Ambientale; Bureau de Recherches Géologiques et Minières; National Research Council; Universitat Politècnica de Catalunya; Royal Observatory of Belgium; University of Pavia; National Institute of Oceanography and Experimental Geophysics; ETH Zurich; Norwegian Geotechnical Institute; French Research Institute for Exploitation of the Sea; University of Clermont Auvergne; Norsar; University of Beira Interior; University of Malaga; Utrecht University; National Institute of Geophysics and Volcanology; University College London; Cineca; French National Centre for Scientific Research; Flanders Marine Institute; University of Bergen; Barcelona Supercomputing Center; Institute of Geophysics; National Laboratory of Frascati,Germany; Iceland; France; Germany; Italy; Poland; Netherlands; Greece; Spain; France; France; Italy; Italy; Italy; France; Ireland; France; Norway; Spain; France; France; Italy; France; Italy; Spain; Belgium; Italy; Italy; Switzerland; Norway; France; France; Norway; Portugal; Spain; Netherlands; Italy; United Kingdom; Italy; France; Belgium; Norway; Spain; Poland; Italy,European Commission,cOAlition S; EC & ERC - European Union,Belgium,37 Earth Sciences; 3704 Geoinformatics; 46 Information and Computing Sciences,,,,,,B11 Computer Science and Informatics,,geoinquirer
Improved transdisciplinary science for effective ecosystem-based maritime spatial planning and conservation in European Seas (MarinePlan),3587827.0,2022-10-01,2022.0,2025-09-30,2025.0,Stazione Zoologica Anton Dohrn; Fisheries and Oceans Canada; Ecopath International Initiative; University of Naples Federico II; Royal Belgian Institute of Natural Sciences; Marine Institute; Universität Hamburg; Helmholtz-Zentrum Hereon; Spanish National Research Council; Johann Heinrich von Thünen-Institut; Queen's University Belfast; Institute of Marine Research; INTERNATIONAL ESTUARINE & COASTAL SPECIALISTS LTD; Technical University of Denmark; Tecnalia; University of the Aegean; Wageningen University & Research,Johann Heinrich von Thünen-Institut; Fisheries and Oceans Canada; Ecopath International Initiative; Stazione Zoologica Anton Dohrn; University of Naples Federico II; Royal Belgian Institute of Natural Sciences; Marine Institute; Universität Hamburg; Helmholtz-Zentrum Hereon; Spanish National Research Council; Queen's University Belfast; Institute of Marine Research; Technical University of Denmark; Tecnalia; University of the Aegean; Wageningen University & Research,Germany; Canada; Spain; Italy; Italy; Belgium; Ireland; Germany; Germany; Spain; United Kingdom; Portugal; Denmark; Spain; Greece; Netherlands,European Commission,cOAlition S; EC & ERC - European Union,Belgium,31 Biological Sciences; 3103 Ecology; 41 Environmental Sciences; 4102 Ecological Applications; 4104 Environmental Management; 48 Law and Legal Studies; 4803 International and Comparative Law,,,,,,B07 Earth Systems and Environmental Sciences,14 Life Below Water,marineplanning
Integrated 4D driver modelling under uncertainty,6766959.0,2022-10-01,2022.0,2025-09-30,2025.0,University of Queensland; AIMSUN SLU; Tongji University; Technical University of Munich; University of Iowa; University of Naples Federico II; Swedish National Road and Transport Research Institute; Centro Tecnológico de Automoción de Galicia; National Research Council; DIENST WEGVERKEER (RDW); University of Warwick; ZF Friedrichshafen (Germany); SCHWEIZERISCHE RUCKVERSICHERUNGS-GESELLSCHAFT AG; Panteia; Aschaffenburg University of Applied Sciences; Delft University of Technology; Denso (Germany),Panteia; University of Queensland; Tongji University; Technical University of Munich; University of Iowa; University of Naples Federico II; Swedish National Road and Transport Research Institute; Centro Tecnológico de Automoción de Galicia; National Research Council; University of Warwick; ZF Friedrichshafen (Germany); Aschaffenburg University of Applied Sciences; Delft University of Technology; Denso (Germany),Netherlands; Australia; China; Germany; United States; Italy; Sweden; Spain; Italy; United Kingdom; Germany; Germany; Netherlands; Germany,European Commission,cOAlition S; EC & ERC - European Union,Belgium,40 Engineering; 4005 Civil Engineering,,,,,,B12 Engineering,3 Good Health and Well Being,4d driver uncertainty
Next-generation AAV vectors for liver-directed gene therapy,4000000.0,2022-10-01,2022.0,2026-09-30,2026.0,Telethon Foundation; INNOVAVECTOR SRL; University of Navarra; CINFERENCE UG; University of Naples Federico II; Hannover Medical School; NEXT GENERATION DIAGNOSTIC SRL; University of Trento; Genethon (France),Telethon Foundation; University of Navarra; University of Naples Federico II; Hannover Medical School; University of Trento; Genethon (France),Italy; Spain; Italy; Germany; Italy; France,European Commission,cOAlition S; EC & ERC - European Union,Belgium,32 Biomedical and Clinical Sciences; 3206 Medical Biotechnology,Biotechnology; Chronic Liver Disease and Cirrhosis; Digestive Diseases; Gene Therapy; Genetics; Liver Disease,,5.1 Pharmaceuticals; 5.2 Cellular and gene therapies,Liver Cancer,5.3 Systemic Therapies - Discovery and Development,A01 Clinical Medicine,3 Good Health and Well Being,aav liver gene
GreenH2 production from water and bioalcohols by full solar spectrum in a flow reactor,2201655.0,2022-10-01,2022.0,2025-09-30,2025.0,PANGAIA GRADO ZERO SRL; University of Naples Federico II; CROWDHELIX LIMITED; University of Hong Kong; ETH Zurich; Leitat Technological Center; Max Planck Society; University College London,Leitat Technological Center; University of Naples Federico II; University of Hong Kong; ETH Zurich; Max Planck Society; University College London,Spain; Italy; China; Switzerland; Germany; United Kingdom,European Commission,cOAlition S; EC & ERC - European Union,Belgium,34 Chemical Sciences; 3406 Physical Chemistry; 40 Engineering; 4004 Chemical Engineering,,,,,,B12 Engineering,7 Affordable and Clean Energy,solar-powered greenh2
Deciphering and Exploiting the chemical features of Silent Lipopolysaccharides: a gift from gut microbiota,1954308.0,2022-10-01,2022.0,2027-09-30,2027.0,University of Naples Federico II,University of Naples Federico II,Italy,European Commission,cOAlition S; EC & ERC - European Union,Belgium,31 Biological Sciences; 3107 Microbiology,,Infection,1.1 Normal biological development and functioning; 2.2 Factors relating to the physical environment,,,"A06 Agriculture, Veterinary and Food Science",,gut microbiota's role in chemical feature of silent lp
vera.ai: VERification Assisted by Artificial Intelligence,5691875.0,2022-09-15,2022.0,2025-09-14,2025.0,Athens Technology Center (Greece); European Broadcasting Union; Deutsche Welle; ETHNIKO KENTRO EREVNAS KAI TECHNOLOGIKIS ANAPTYXIS; University of Sheffield; Fraunhofer Society; University of Naples Federico II; EU DISINFOLAB; KEMPELENOV INSTITUT INTELIGENTNYCHTECHNOLOGII; Agence France-Presse; École Normale Supérieure Paris-Saclay; SIRMA AI EAD; University of Urbino; University of Amsterdam,Athens Technology Center (Greece); European Broadcasting Union; Deutsche Welle; University of Sheffield; Fraunhofer Society; University of Naples Federico II; Agence France-Presse; École Normale Supérieure Paris-Saclay; University of Urbino; University of Amsterdam,Greece; Switzerland; Germany; United Kingdom; Germany; Italy; France; France; Italy; Netherlands,European Commission,cOAlition S; EC & ERC - European Union,Belgium,36 Creative Arts and Writing; 3605 Screen and Digital Media; 46 Information and Computing Sciences,Bioengineering,,,,,B11 Computer Science and Informatics,,ai verification
Climate Monitoring and Decision Support Framework for Sand Fly-borne Diseases Detection and Mitigation with COst-benefit and Climate-policy MeasureS,9038530.0,2022-09-01,2022.0,2025-08-31,2025.0,Medical University of Vienna; Délégation Paris 11; University of Haifa; Israel Ministry of Health; University of Belgrade; TRILATERAL RESEARCH LIMITED; EREVNITIKO PANEPISTIMIAKO INSTITOUTO TILEPIKONONIAKON SYSTIMATON; Istituto Superiore di Sanità; Helmholtz Centre for Environmental Research; University of Reims Champagne-Ardenne; University of Naples Federico II; GLIGORIJEVIC VLADAN; Universidade Nova de Lisboa; University of Murcia; PREDICTIA INTELLIGENT DATA SOLUTIONS SL; University of Primorska; Karlsruhe Institute of Technology; F6S NETWORK IRELAND LIMITED; Ege University; Lancaster University; Ministry of Health; Hacettepe University; University of Warwick; Wageningen University & Research; Charles University; Aix-Marseille University; PRIVREDNO DRUSTVO ZENTRIX LAB DRUSTVO SA OGRANICENOM ODGOVORNOSCU PANCEVO; Ministero della Salute; OPEN GEOSPATIAL CONSORTIUM EUROPE,Universidade Nova de Lisboa; Medical University of Vienna; Délégation Paris 11; University of Haifa; Israel Ministry of Health; University of Belgrade; Istituto Superiore di Sanità; Helmholtz Centre for Environmental Research; University of Reims Champagne-Ardenne; University of Naples Federico II; University of Murcia; University of Primorska; Karlsruhe Institute of Technology; Ege University; Lancaster University; Ministry of Health; Hacettepe University; University of Warwick; Wageningen University & Research; Charles University; Aix-Marseille University; Ministero della Salute,Portugal; Austria; France; Israel; Israel; Serbia; Italy; Germany; France; Italy; Spain; Slovenia; Germany; Turkey; United Kingdom; Turkey; Turkey; United Kingdom; Netherlands; Czechia; France; Italy,European Commission,cOAlition S; EC & ERC - European Union,Belgium,41 Environmental Sciences; 4101 Climate Change Impacts and Adaptation,Climate-Related Exposures and Conditions; Prevention,Generic health relevance; Infection,2.2 Factors relating to the physical environment; 2.6 Resources and infrastructure (aetiology); 3.2 Interventions to alter physical and biological environmental risks,,,C14 Geography and Environmental Studies,13 Climate Action; 3 Good Health and Well Being,climate-policy and sand fly disease
